0:42:12:23,0:42:19:23,sc_sec2_admin1
0:42:24:22,0:42:35:18,sc_sec2_admin2
0:42:40:12,0:42:47:09,sc_sec2_admin2
0:42:47:28,0:42:58:10,sc_sec2_admin2
0:43:03:16,0:43:06:05,sc_stop3
0:43:11:14,0:43:21:14,sc_tele_work2
0:43:26:14,0:43:33:12,sc_yard_box1
0:43:38:20,0:43:45:13,sc_yard_box1
0:43:50:22,0:43:54:27,sc_yard_box1a
0:43:59:12,0:44:02:01,sc_yard_box1b
0:44:06:07,0:44:10:00,sc_yard_box2
0:44:15:12,0:44:18:17,sc_yard_box3
0:44:22:22,0:44:25:11,sc_yard_box4
0:44:32:01,0:44:58:04,sc_yard_wound1
0:45:00:18,0:45:30:00,sc_yard_wound2
